,site,crop,pasture,forested,grassland,wetland,urban_developed,water,total
1,Nat-ag 1,0,0,0.608801956,0,0.310513447,0.080684597,0,368100
2,Nat-ag 3,0,0,0.756440281,0,0.220140515,0.023419204,0,384300
3,Nat-ag 6,0,0,0.661835749,0,0.285024155,0.04589372,0.007246377,372600
4,Nat-ag 2,0,0,0.595890411,0,0.369863014,0.02283105,0.011415525,394200
5,Nat-ag 5 old,0,0,0.67989418,0,0.251322751,0.068783069,0,340200
6,Nat-ag 5,0,0.072727273,0.511111111,0,0.317171717,0.098989899,0,445500
7,Half 6,0,0.045454545,0.853535354,0,0.098484848,0,0.002525253,356400
8,Nat-ag 7,0,0,0.6375,0,0.3125,0.05,0,360000
9,Ag-nat 9,0.147959184,0.035714286,0.451530612,0.326530612,0.038265306,0,0,352800
10,Half 9,0.061696658,0.29562982,0.555269923,0,0.030848329,0.05655527,0,350100
11,Half 7,0,0.058823529,0.735294118,0.015837104,0.13800905,0.038461538,0.013574661,397800
12,Ag-nat 2,0.27311828,0,0.105376344,0,0.520430108,0.088172043,0.012903226,418500
13,Ag-nat 5,0.137767221,0.066508314,0.334916865,0.028503563,0.358669834,0.06888361,0.004750594,378900
14,Nat-ag 4,0.044776119,0.009950249,0.430348259,0,0.450248756,0.064676617,0,361800
15,Ag 6,0.110864745,0.268292683,0.266075388,0,0.119733925,0.235033259,0,405900
16,Half 10,0,0.021276596,0.756838906,0.112462006,0.015197568,0.094224924,0,296100
17,Nat-ag 9,0,0.002610966,0.584856397,0,0.060052219,0.323759791,0.028720627,344700
18,Ag-nat 7,0.234866828,0.392251816,0.220338983,0,0.03874092,0.113801453,0,371700
19,Half 5,0.338709677,0,0.623655914,0,0.037634409,0,0,334800
20,Half 2,0,0.072351421,0.860465116,0,0.012919897,0.054263566,0,348300
21,Ag-nat 3,0.361413043,0.100543478,0.489130435,0,0,0.048913043,0,331200
22,Ag 3,0.136465324,0.460850112,0.199105145,0,0.024608501,0.123042506,0.055928412,402300
23,Ag 5,0,0.203856749,0.669421488,0,0.090909091,0.035812672,0,326700
24,Ag-nat 8,0,0.224867725,0.69047619,0.002645503,0.013227513,0.068783069,0,340200
25,Nat-ag 8,0,0,0.648293963,0,0.062992126,0.254593176,0.034120735,342900
26,Nat QC 7,0,0,0.997596154,0,0.002403846,0,0,374400
27,Nat QC 6,0,0,0.991758242,0,0,0,0.008241758,327600
28,Nat QC 4,0,0,0.986522911,0,0.010781671,0.002695418,0,333900
29,Nat QC 3,0,0,0.940677966,0,0.02259887,0.036723164,0,318600
30,Nat QC 1 alt,0,0,0.978436658,0,0.005390836,0,0.016172507,333900
31,Nat QC 1 old,0,0,0.997229917,0,0.002770083,0,0,324900
32,Nat QC 9,0,0.140703518,0.753768844,0,0.010050251,0.095477387,0,358200
